Unique Applicant ID , Age, Years at Employer,Years at Address,Income,Credit Card Debt ,Automobile Debt,Outcomes: Default = 1
1,-0.260649677,0.114167127,-0.77881475,-0.22139062,-0.011445747,0.2118942,0
2,-0.010717907,0.495792187,1.139494254,0.36198125,-3.184887828,-1.506079572,1
3,0.369496398,0.567690682,-1.121509292,0.262467874,-2.106822568,-0.205042588,1
4,-0.729185859,-1.067134304,1.708912823,-0.59519054,0.50583704,0.531282178,0
5,-0.250083176,-0.166253436,-0.88133588,-0.490360903,0.530939109,0.800374086,0
6,0.567169564,-0.595897622,2.022816065,3.628455241,-3.379030965,-6.562845446,1
7,1.484865248,1.223375043,0.352450407,0.53994454,-0.325373466,-0.286284879,0
8,0.894238122,1.080133546,3.266899276,1.45307183,-0.542414953,0.613108957,0
9,1.476736416,0.494251954,-0.178233457,0.142246067,-1.087629145,-1.586425184,0
10,-0.901275173,0.126733394,-0.485958013,-0.321757669,0.351687648,0.367509131,0
11,0.073966666,-1.118014573,-0.005691292,-0.592954831,-0.178996345,0.501049548,1
12,-1.06068275,-0.650637303,-0.282759471,-0.272719831,0.773643191,0.631253556,0
13,-0.28366541,-0.179258687,3.425459434,-0.278550042,0.48462085,0.592400684,1
14,1.725182865,2.030646709,-1.191676215,1.426140035,-1.298213329,-0.354886468,0
15,2.089432907,2.65926581,-0.384213574,2.438080457,0.371998901,-3.700918392,0
16,-0.407756545,-0.113972622,-0.694454265,-0.143649122,0.735113016,-0.622513969,0
17,-0.898138663,-0.134555196,-0.836094625,-0.263448195,0.748936915,0.698574608,0
18,-1.107174871,-0.866254142,-0.513558908,-0.639532496,0.271560525,0.020099739,1
19,-0.387661456,0.741167171,0.420572246,0.404610783,-1.1067853,0.434444338,0
20,1.100729197,-0.891633616,-0.802455224,-0.590182378,0.739765996,0.742509373,0
21,-0.425020914,-0.72681498,-1.219914017,-0.750546023,0.83151376,0.767610468,0
22,0.32719866,1.8266825,2.002708929,0.922838983,-1.976594894,-1.604175888,0
23,0.890435212,0.862021205,1.950495295,0.154555741,0.451918774,0.348514432,0
24,1.393014527,2.534422298,-0.772305153,0.310627903,0.326587941,-2.007946781,0
25,1.801800965,-0.597185644,-0.178108028,-0.395956503,0.514001496,0.391400183,1
26,-1.158353272,0.102359401,-0.679097618,-0.440100129,0.528707861,0.312675273,0
27,0.611426072,-0.638968894,1.557067804,0.524689444,0.383021399,0.681542945,0
28,-0.471338193,-1.185862601,1.684177587,-0.608564342,0.830440948,0.787184854,0
29,0.602988133,-1.096749963,-1.22384786,-0.586741383,0.668502114,0.437078713,0
30,-0.250213286,-0.73521604,-0.098689384,-0.626976669,0.707683294,0.414134538,0
31,0.579733813,-0.924669061,0.605932945,-0.75073604,-0.149309645,0.40180084,1
32,1.760245528,0.450593903,0.636069743,0.614501724,0.320705162,-0.54216356,0
33,0.078136313,0.031807126,0.67142807,-0.414571047,0.594543654,1.016869518,0
34,-0.894375582,-0.112043488,-1.167814818,-0.560501786,0.815802118,0.718648764,0
35,0.896936719,0.542983476,-0.086522985,0.748603252,0.046753314,-1.713017336,0
36,0.995022687,-1.137475569,0.439692044,0.333219101,0.711833248,-0.083521104,0
37,-0.75227112,-0.5067274,-0.80055975,-0.662931242,0.505622687,1.020407115,0
38,1.826131329,0.960123546,0.031191468,0.674817883,-0.50506492,0.558606935,0
39,-0.993321556,-1.161859454,1.217199069,-0.723940158,-0.612501023,-0.203729913,1
40,-0.824364457,0.41734584,-0.837699946,-0.276287872,0.027923115,0.328920346,0
41,1.525056496,2.350171657,0.331441928,1.451335278,0.471235304,-0.503119323,0
42,-0.522903772,0.470736273,-0.741638654,-0.342127454,0.730990651,0.824180165,0
43,-0.579447565,-0.271696719,0.773883462,-0.61383739,0.222127535,0.253173808,0
44,0.098929798,0.662666808,4.711205974,0.701032469,0.633516533,0.919514707,0
45,0.5972479,2.256121539,-0.658017674,0.456768599,-0.773176452,-2.021911481,0
46,0.781371439,0.87096709,-0.472051324,-0.26572749,0.162697432,0.268854818,0
47,-0.305202235,-0.184315339,0.783793849,-0.123165947,-0.710406571,-1.755888551,1
48,-0.659120093,-0.632912141,0.584182227,-0.210460038,0.190610749,0.555963628,1
49,0.717845586,-0.347970454,1.078947262,2.988178526,-0.798369143,-2.276550428,0
50,-1.339514659,-0.769489377,-0.417374995,0.041888858,0.694386527,-0.428720169,1
51,1.093408259,1.52921031,0.197362248,8.417465475,-7.412146747,-2.428884427,1
52,-0.639747298,-0.590872287,-0.839705596,-0.499300445,0.790315073,0.528788635,0
53,-1.384792734,-1.12909487,0.635315599,-0.499603444,0.628026542,0.281651027,1
54,-0.076677244,0.014130829,-1.037125239,-0.256994351,0.502449718,0.166287949,0
55,-0.368174951,0.075350443,-0.013931421,-0.044295889,0.343116678,0.658414819,0
56,-0.699064546,-0.368299099,-1.146280167,-0.034391133,0.218173731,0.499828446,0
57,1.167019303,1.688896751,-0.862779623,1.335332541,-0.84541879,-2.358679998,0
58,-1.5204233,-1.194750306,-1.030416501,-0.642733656,0.740492259,0.693165726,0
59,-1.623123214,-0.455031575,0.268024909,-0.712647894,0.357510261,0.215532175,0
60,0.32268853,0.765836624,-0.567259725,0.478161904,0.29581917,0.489623001,0
61,-0.692141924,-1.179170461,-0.553713404,-0.633942253,0.775432124,1.08736967,0
